L,AG2,AG4,AG6,AG8,AG12,atm
4.13E-06,0.972379886,0.947468,0.9194072,0.8751849,0.8252664,5.10E-01
4.14E-06,0.971516316,0.9458745,0.9169598,0.8714886,0.8205122,4.42E-01
4.15E-06,0.970592864,0.9441141,0.9143475,0.8678056,0.815696,3.61E-01
4.16E-06,0.969678712,0.942413,0.9117664,0.8637552,0.8101723,2.70E-01
4.17E-06,0.968621985,0.9405634,0.9087888,0.8597159,0.8048273,1.73E-01
4.18E-06,0.967578649,0.9386221,0.9058553,0.8558991,0.7994408,8.03E-02
4.19E-06,0.966637666,0.9364601,0.903215,0.8519205,0.7951063,7.27E-03
4.20E-06,0.96586049,0.9332125,0.9010382,0.8499368,0.792416,1.84E-07
4.21E-06,0.964996412,0.9299063,0.8986221,0.8479163,0.7902261,1.25E-20
4.22E-06,0.964204648,0.927252,0.896412,0.8450566,0.7882391,1.14E-20
4.23E-06,0.963398221,0.9245411,0.8941647,0.8421281,0.7869717,1.02E-20
4.24E-06,0.961910691,0.9217587,0.8900292,0.8366699,0.7766259,8.99E-21
4.25E-06,0.959789559,0.9184978,0.8841543,0.8285616,0.7658352,7.81E-21
4.26E-06,0.958473231,0.9155073,0.8805215,0.8224685,0.758484,6.62E-21
4.27E-06,0.95612825,0.9120969,0.8740745,0.813493,0.7468973,5.44E-21
4.28E-06,0.954606181,0.910036,0.8699068,0.8074338,0.7381457,4.25E-21
4.29E-06,0.954300796,0.9090381,0.8690722,0.8060923,0.7363425,3.07E-21
4.30E-06,0.952707805,0.9071082,0.8647273,0.8011864,0.7307926,1.88E-21
4.31E-06,0.951087066,0.9050293,0.8603216,0.7956909,0.7227678,6.99E-22
4.32E-06,0.948960784,0.9026463,0.8545644,0.7866776,0.7120098,9.42E-25
4.33E-06,0.947246691,0.8995196,0.849942,0.7796249,0.7033366,5.14E-15
4.34E-06,0.944903791,0.8962319,0.8436509,0.7700269,0.6916251,9.83E-10
